pod,__name__
carts-77c79d8f5c-kc9vd,ALERTS
front-end-84bbdf87f9-2dcgp,ALERTS
front-end-84bbdf87f9-4r59v,ALERTS
front-end-84bbdf87f9-4vpzf,ALERTS
front-end-84bbdf87f9-5hrw2,ALERTS
front-end-84bbdf87f9-6s9j5,ALERTS
front-end-84bbdf87f9-7d4cp,ALERTS
front-end-84bbdf87f9-9h2hm,ALERTS
front-end-84bbdf87f9-bd7zg,ALERTS
front-end-84bbdf87f9-bqs94,ALERTS
front-end-84bbdf87f9-cfkwb,ALERTS
front-end-84bbdf87f9-dchc2,ALERTS
front-end-84bbdf87f9-dtl78,ALERTS
front-end-84bbdf87f9-jhbqt,ALERTS
front-end-84bbdf87f9-lbf7z,ALERTS
front-end-84bbdf87f9-nl9mb,ALERTS
front-end-84bbdf87f9-pfkqg,ALERTS
front-end-84bbdf87f9-pm6f7,ALERTS
front-end-84bbdf87f9-pxn99,ALERTS
front-end-84bbdf87f9-rlg2v,ALERTS
front-end-84bbdf87f9-rtrkt,ALERTS
front-end-84bbdf87f9-sfflv,ALERTS
front-end-84bbdf87f9-xpvr8,ALERTS
front-end-84bbdf87f9-zpznn,ALERTS
orders-b54f99dcf-f6t87,ALERTS
front-end-84bbdf87f9-4bddm,ALERTS
front-end-84bbdf87f9-4vpzf,ALERTS
front-end-84bbdf87f9-4zrg7,ALERTS
front-end-84bbdf87f9-fwbs2,ALERTS
front-end-84bbdf87f9-kmv47,ALERTS
front-end-84bbdf87f9-q6nkp,ALERTS
front-end-84bbdf87f9-qqzdw,ALERTS
front-end-84bbdf87f9-rwglf,ALERTS
front-end-84bbdf87f9-tfs4h,ALERTS
front-end-84bbdf87f9-zpznn,ALERTS
orders-b54f99dcf-648c4,ALERTS
orders-b54f99dcf-99n5f,ALERTS
orders-b54f99dcf-np2bn,ALERTS
orders-b54f99dcf-p8f24,ALERTS
user-b8c4c9799-4d2vq,ALERTS
user-b8c4c9799-4d2vq,ALERTS
user-b8c4c9799-4d2vq,ALERTS
front-end-84bbdf87f9-4bddm,ALERTS
front-end-84bbdf87f9-4vpzf,ALERTS
front-end-84bbdf87f9-4zrg7,ALERTS
front-end-84bbdf87f9-fwbs2,ALERTS
front-end-84bbdf87f9-kmv47,ALERTS
front-end-84bbdf87f9-q6nkp,ALERTS
front-end-84bbdf87f9-qqzdw,ALERTS
front-end-84bbdf87f9-rwglf,ALERTS
front-end-84bbdf87f9-tfs4h,ALERTS
front-end-84bbdf87f9-zpznn,ALERTS
orders-b54f99dcf-648c4,ALERTS
orders-b54f99dcf-99n5f,ALERTS
orders-b54f99dcf-np2bn,ALERTS
orders-b54f99dcf-p8f24,ALERTS
carts-77c79d8f5c-kc9vd,ALERTS_FOR_STATE
front-end-84bbdf87f9-2dcgp,ALERTS_FOR_STATE
front-end-84bbdf87f9-4r59v,ALERTS_FOR_STATE
front-end-84bbdf87f9-4vpzf,ALERTS_FOR_STATE
front-end-84bbdf87f9-5hrw2,ALERTS_FOR_STATE
front-end-84bbdf87f9-6s9j5,ALERTS_FOR_STATE
front-end-84bbdf87f9-7d4cp,ALERTS_FOR_STATE
front-end-84bbdf87f9-9h2hm,ALERTS_FOR_STATE
front-end-84bbdf87f9-bd7zg,ALERTS_FOR_STATE
front-end-84bbdf87f9-bqs94,ALERTS_FOR_STATE
front-end-84bbdf87f9-cfkwb,ALERTS_FOR_STATE
front-end-84bbdf87f9-dchc2,ALERTS_FOR_STATE
front-end-84bbdf87f9-dtl78,ALERTS_FOR_STATE
front-end-84bbdf87f9-jhbqt,ALERTS_FOR_STATE
front-end-84bbdf87f9-lbf7z,ALERTS_FOR_STATE
front-end-84bbdf87f9-nl9mb,ALERTS_FOR_STATE
